V,graph,ar_time_taken,mh_time_taken
1800,"[[ 0 88 19 ... 12 96 38]
 [ 2  0 98 ... 35 41 55]
 [78 47  0 ... 47 14 32]
 ...
 [61  8 23 ...  0 96 82]
 [62 11 92 ...  6  0 96]
 [23 76 13 ... 76 26  0]]",0.025577,0.022622
1900,"[[ 0  9 67 ... 65 89 63]
 [22  0 14 ... 28  3 38]
 [69 24  0 ... 35 62 35]
 ...
 [98 50 32 ...  0 14 30]
 [34 93 24 ... 59  0 38]
 [23 27  1 ... 31 27  0]]",0.028628,0.025392
2000,"[[ 0 41 19 ... 73 16 42]
 [95  0 62 ... 69 95 90]
 [27 11  0 ... 52  7 30]
 ...
 [48 80 43 ...  0 24 52]
 [12 18 34 ... 96  0 89]
 [92 73 70 ... 69  2  0]]",0.03225,0.028166
2100,"[[ 0 61 98 ... 74 63 22]
 [ 4  0 94 ...  9 49 11]
 [74 57  0 ... 92 95 19]
 ...
 [70  6 73 ...  0 43 41]
 [91 91 35 ...  9  0 51]
 [64 39 58 ... 52 83  0]]",0.03524,0.034503
2200,"[[ 0 69  8 ... 63 72 22]
 [32  0 63 ... 47 59  9]
 [16 52  0 ...  1 10 95]
 ...
 [44  8 69 ...  0 70 37]
 [88 58 89 ... 49  0  2]
 [42 30 20 ... 14 59  0]]",0.040371,0.034554
2300,"[[ 0 31 58 ... 45 85  0]
 [96  0 81 ... 59 16 52]
 [20 57  0 ... 45 17 64]
 ...
 [ 7 52 99 ...  0 19 56]
 [47 62 19 ... 19  0 53]
 [ 2 57 48 ... 16 22  0]]",0.042921,0.037321
2400,"[[ 0  6 31 ... 84 15 76]
 [56  0 76 ... 35 75 30]
 [73 99  0 ... 98  8 69]
 ...
 [89 22 10 ...  0 34 72]
 [98 79 57 ... 22  0 76]
 [66 10 95 ... 80 58  0]]",0.04636,0.039981
2500,"[[ 0 17 48 ... 20 89 60]
 [59  0 40 ... 86 92 93]
 [88 86  0 ... 40 75 10]
 ...
 [10 88 90 ...  0 79 67]
 [ 7 42 93 ... 72  0 40]
 [62 46 20 ... 87 70  0]]",0.052672,0.044549
2600,"[[ 0 45 98 ... 27 30 82]
 [30  0 59 ... 81  6 77]
 [40 66  0 ... 81 62 48]
 ...
 [20 68 86 ...  0 43 14]
 [93 24 91 ... 96  0 63]
 [95 36  7 ... 35 22  0]]",0.054469,0.047255
2700,"[[ 0 92  1 ... 78 91 97]
 [29  0 53 ... 66 23 26]
 [72 78  0 ... 86  7  3]
 ...
 [89 59 67 ...  0 33 44]
 [ 7  6 84 ... 57  0 35]
 [19 95 67 ... 88 91  0]]",0.059135,0.051568
2800,"[[ 0 21 52 ... 62 80 12]
 [29  0 41 ... 59 70 29]
 [24 69  0 ...  5 25 98]
 ...
 [83 92  7 ...  0 93 98]
 [13  2 92 ... 94  0 31]
 [14 61 61 ... 83 99  0]]",0.064419,0.055838
2900,"[[ 0 41  2 ... 35 32 85]
 [18  0 80 ... 84 33 87]
 [27 68  0 ... 31 50 68]
 ...
 [63 60 27 ...  0 54 63]
 [83 25 24 ... 60  0 87]
 [55 52 27 ... 72 69  0]]",0.071339,0.06062
3000,"[[ 0 93 96 ... 49 50 72]
 [95  0 89 ... 55 55 37]
 [93  7  0 ... 80 94 31]
 ...
 [ 2 20 23 ...  0 81 95]
 [23 96 46 ... 86  0 99]
 [61 69 14 ...  8  9  0]]",0.07671,0.06511
3100,"[[ 0 87 97 ... 61 76 62]
 [93  0 99 ... 82 37 62]
 [91 98  0 ... 99 15 42]
 ...
 [51 64 89 ...  0 87 27]
 [89 69 49 ... 19  0 24]
 [36 85 10 ... 65 82  0]]",0.07809,0.0699
3200,"[[ 0 56 16 ... 38 36 55]
 [25  0 40 ... 37 87 54]
 [64  5  0 ... 20 87 35]
 ...
 [98 62 46 ...  0 59 73]
 [38 26 34 ... 44  0 60]
 [47 70 14 ... 68 42  0]]",0.09664,0.076477
3300,"[[ 0  5 57 ... 56 13 30]
 [ 8  0 16 ... 46  8 95]
 [77 41  0 ... 55  6 46]
 ...
 [82 78 31 ...  0 15 93]
 [71 52 25 ...  6  0 99]
 [20 41  3 ... 10 87  0]]",0.092727,0.079681
3400,"[[ 0 41 83 ...  4 25 27]
 [89  0 95 ... 15 10  7]
 [84 54  0 ... 17 25  1]
 ...
 [98 66 72 ...  0 65 27]
 [84 20 13 ... 92  0 62]
 [90 31 53 ... 46 70  0]]",0.106026,0.086212
3500,"[[ 0  8 17 ... 38 35 51]
 [93  0  2 ...  9 16 21]
 [81 18  0 ...  7 65  4]
 ...
 [53 44 36 ...  0 25 20]
 [52 57 23 ... 68  0  1]
 [26 43 81 ... 49 65  0]]",0.112262,0.091543
3600,"[[ 0 23 78 ... 48 53 39]
 [52  0 51 ... 43 20  8]
 [57 44  0 ... 69 62 35]
 ...
 [48 24 82 ...  0 11 26]
 [69 29 15 ... 95  0 65]
 [43 15 65 ... 73 50  0]]",0.119969,0.099501
3700,"[[ 0 71 33 ... 15 28 78]
 [23  0 90 ... 58 31 20]
 [30 64  0 ... 65 26 17]
 ...
 [89  8 79 ...  0 23 44]
 [14 99 62 ... 51  0 28]
 [17 64 42 ... 89 41  0]]",0.129758,0.104028
3800,"[[ 0 57 52 ... 95  0 62]
 [46  0 42 ... 44 54 26]
 [22 11  0 ... 13 54 58]
 ...
 [56 47 86 ...  0 15 59]
 [57 91 94 ... 80  0 52]
 [90 79 54 ... 10 10  0]]",0.136484,0.107721
3900,"[[ 0 67 69 ... 42 56 65]
 [67  0 98 ... 58 64 56]
 [57 17  0 ... 15 84 63]
 ...
 [18  1 77 ...  0 98 58]
 [20 39 33 ... 21  0 46]
 [49 80 92 ...  0 46  0]]",0.214192,0.159373
4000,"[[ 0 86 86 ... 72 97 84]
 [36  0 97 ... 79 25 25]
 [32 60  0 ...  9 84  5]
 ...
 [39 85 88 ...  0 62 34]
 [82 64 11 ... 65  0 68]
 [99 25 96 ...  3 46  0]]",0.219833,0.198179
4100,"[[ 0 25 75 ... 11 71 43]
 [95  0 32 ... 77 95 65]
 [95 43  0 ... 99 54 95]
 ...
 [83 82 87 ...  0 54 37]
 [89 79  2 ... 99  0 31]
 [ 5 28 72 ... 82 45  0]]",0.168426,0.129736
4200,"[[ 0  5 55 ... 84  2 82]
 [71  0 23 ... 14 87 69]
 [19 53  0 ... 94 70 10]
 ...
 [54 93 45 ...  0 46  3]
 [ 5 65 87 ... 98  0 91]
 [73 17  6 ... 53 11  0]]",0.171766,0.133662
4300,"[[ 0  2 69 ... 71 56 70]
 [16  0 76 ... 78 26 47]
 [23 97  0 ... 67 99 23]
 ...
 [94 15 80 ...  0 14  6]
 [21 83 60 ... 95  0 29]
 [24 94 31 ... 23 42  0]]",0.193563,0.141779
4400,"[[ 0 49 77 ... 52 11  0]
 [18  0 16 ... 86 16 22]
 [49 15  0 ... 56 84 47]
 ...
 [70 78  8 ...  0 78 36]
 [88 94 20 ... 44  0 45]
 [83 30 38 ... 71 73  0]]",0.20428,0.15843
4500,"[[ 0 79 28 ... 28 36 17]
 [19  0 55 ... 40 64 24]
 [38 36  0 ... 78 44 57]
 ...
 [ 8 11 65 ...  0  9 51]
 [42 96 23 ... 15  0 91]
 [42 81 61 ... 25 15  0]]",0.228034,0.155923
4600,"[[ 0  8 10 ... 92 29 79]
 [30  0 52 ... 97  2  9]
 [17 39  0 ... 49 45 42]
 ...
 [51 93 93 ...  0 16 90]
 [94 45 47 ... 46  0 35]
 [83 85 73 ... 63 73  0]]",0.226453,0.1626
4700,"[[ 0 71 37 ... 53 79  8]
 [51  0  2 ... 92 14 21]
 [46 83  0 ... 51 22  7]
 ...
 [20  7 86 ...  0  4 90]
 [78  1 54 ... 90  0 58]
 [90 11 20 ... 65 59  0]]",0.226706,0.169037
4800,"[[ 0 35 70 ... 21 20 40]
 [61  0 11 ... 41  4 97]
 [12 79  0 ... 90 64 63]
 ...
 [79  0 57 ...  0 97 99]
 [18 57 73 ... 30  0  5]
 [43 56 17 ... 19 81  0]]",0.231387,0.176085
4900,"[[ 0  7 83 ... 18 42 47]
 [34  0 58 ... 69 97 94]
 [76 24  0 ...  1 31  6]
 ...
 [74 82 71 ...  0 61 69]
 [22  7 95 ...  4  0 15]
 [22 79 44 ... 21 60  0]]",0.280808,0.187402
5000,"[[ 0 99 91 ... 95  1  1]
 [33  0 50 ... 81 41 10]
 [88 92  0 ... 40 83 60]
 ...
 [35 53 80 ...  0 70 43]
 [59 92 81 ... 43  0 31]
 [68 67 31 ... 48 43  0]]",0.281321,0.193888
