V,graph,ar_time_taken,mh_time_taken
200,"[[ 0 76 76 ... 63 85 54]
 [16  0 52 ... 56 90 78]
 [38 78  0 ... 15 20 18]
 ...
 [ 1 76 68 ...  0 51 44]
 [30 37 19 ... 26  0  7]
 [95 98  5 ... 71 20  0]]",0.000353,0.000377
300,"[[ 0 31 90 ... 36  6  3]
 [69  0 35 ... 53 27 38]
 [21 16  0 ... 98 95 24]
 ...
 [ 7 82 30 ...  0 96 34]
 [79 83 67 ... 94  0  9]
 [26 72 29 ... 56 78  0]]",0.000749,0.000747
400,"[[ 0 18 70 ... 87 12 32]
 [22  0  4 ... 39 22 88]
 [16 23  0 ... 79 13 90]
 ...
 [44 52 35 ...  0 99 67]
 [43 64 99 ... 12  0  3]
 [52 60 50 ...  2 90  0]]",0.001279,0.00124
500,"[[ 0 47 88 ... 35 92 76]
 [ 4  0  6 ... 71 73 53]
 [13 92  0 ... 61 44 26]
 ...
 [48 43 71 ...  0  6 66]
 [22 11 70 ... 92  0 62]
 [ 1 94 68 ... 15 29  0]]",0.001988,0.001838
600,"[[ 0 69 84 ... 84 96 98]
 [10  0 61 ... 92  3 50]
 [29 15  0 ... 19  5 88]
 ...
 [10 62 79 ...  0 55 19]
 [83 24 13 ... 84  0 66]
 [12 19 83 ... 14 88  0]]",0.002816,0.002568
700,"[[ 0  7 86 ... 13 98  9]
 [93  0 37 ... 62 69 92]
 [84 20  0 ... 98 37 36]
 ...
 [60  0 98 ...  0 88 10]
 [89  8 12 ...  9  0 36]
 [21 12 48 ... 37 57  0]]",0.003804,0.003715
800,"[[ 0 84 96 ... 80 74 90]
 [ 3  0 64 ... 33 65 42]
 [20 71  0 ...  0  7 33]
 ...
 [72 60 25 ...  0 25 36]
 [93 25 79 ... 25  0 80]
 [61 83 14 ... 24 76  0]]",0.005279,0.004651
900,"[[ 0 24 31 ... 85  6 22]
 [72  0 89 ... 98 36 99]
 [94 97  0 ... 67 68 91]
 ...
 [23 56  2 ...  0 90 17]
 [36 51 55 ... 10  0 86]
 [95 34 20 ... 79 61  0]]",0.007144,0.006887
1000,"[[ 0 18 55 ... 98 78 25]
 [48  0 39 ... 68 46 14]
 [26 69  0 ... 99 90 81]
 ...
 [66 30 14 ...  0 54 21]
 [64 21 79 ...  9  0 44]
 [89 49 95 ... 27 65  0]]",0.007933,0.006925
1100,"[[ 0 16 32 ... 77 47 40]
 [95  0 25 ... 19 64 56]
 [28 82  0 ... 50 85 18]
 ...
 [17 54 50 ...  0 37 35]
 [38 45 36 ... 29  0  8]
 [14 94 51 ...  2 34  0]]",0.010934,0.009902
1200,"[[ 0 71 83 ... 98 21 31]
 [33  0  9 ... 54 18 25]
 [42  0  0 ... 84 65 72]
 ...
 [99 28 83 ...  0 88 93]
 [74 20 85 ... 48  0 69]
 [91 34 52 ... 80 32  0]]",0.011473,0.010287
1300,"[[ 0 56  5 ... 60  1 48]
 [82  0 64 ... 40 33  6]
 [29  5  0 ... 26 89 73]
 ...
 [ 4 88 32 ...  0 57 22]
 [64 27 70 ... 38  0 31]
 [62 73 51 ... 50 87  0]]",0.013393,0.011469
1400,"[[ 0  3 68 ... 29 38 50]
 [98  0 48 ... 99  8 27]
 [14 57  0 ...  5 79 83]
 ...
 [67 78 44 ...  0  2 54]
 [27 69  4 ... 59  0 85]
 [99 15 21 ... 20 78  0]]",0.015222,0.013293
1500,"[[ 0 54 35 ... 33 11 93]
 [28  0 99 ... 99 24 88]
 [ 2 32  0 ...  2 53 13]
 ...
 [80 10 79 ...  0 68  9]
 [ 0 81 76 ... 99  0 18]
 [14 90 63 ... 80 58  0]]",0.0176,0.015543
1600,"[[ 0 69 67 ... 64 80 96]
 [50  0 43 ... 49 35 59]
 [52 25  0 ... 58 86 42]
 ...
 [69 13 85 ...  0 24 49]
 [60 87 93 ...  9  0 83]
 [70 73 53 ... 84 76  0]]",0.021095,0.01769
1700,"[[ 0 68 85 ... 96  8 77]
 [46  0  0 ... 55 32 25]
 [29 64  0 ... 41 45 71]
 ...
 [70  3 36 ...  0 65 45]
 [84 76 89 ... 43  0  5]
 [ 0 91 69 ... 80 98  0]]",0.023249,0.024026
1800,"[[ 0 95 39 ... 13 11 72]
 [91  0 18 ... 14 70 64]
 [66 10  0 ... 36 96 96]
 ...
 [78 17 12 ...  0  2 65]
 [80  3 64 ... 58  0  3]
 [71 63 13 ... 39 96  0]]",0.025507,0.022859
1900,"[[ 0 53 89 ...  7 72 94]
 [ 6  0 77 ...  8 83 87]
 [36 29  0 ...  9 26 35]
 ...
 [24 57 90 ...  0 55  4]
 [31 37  1 ...  9  0  5]
 [83 15 65 ... 89 65  0]]",0.02955,0.025126
2000,"[[ 0 91 10 ... 75 12 86]
 [71  0 73 ... 27 21 14]
 [ 1 31  0 ... 31 93 17]
 ...
 [29 56 34 ...  0 23 54]
 [19 43  8 ... 66  0 24]
 [50 17 98 ... 46 41  0]]",0.032824,0.030509
2100,"[[ 0 13 54 ... 10  8 99]
 [17  0  1 ... 95 99 96]
 [32 68  0 ... 94 40 15]
 ...
 [ 2 96 52 ...  0 73 29]
 [53 48 96 ... 70  0 64]
 [69 52 55 ... 40 27  0]]",0.038282,0.032073
2200,"[[ 0 31 94 ... 76 99 34]
 [ 6  0 94 ... 94  0 70]
 [56 36  0 ... 36 98 16]
 ...
 [32 44 15 ...  0 58 45]
 [41 77 86 ... 68  0 47]
 [53 97 33 ... 74  5  0]]",0.046284,0.040406
2300,"[[ 0 66 80 ... 15 35 12]
 [89  0  4 ... 17 18 63]
 [91 17  0 ... 28 43 76]
 ...
 [96 30 91 ...  0 78  0]
 [33 81 95 ... 47  0 26]
 [83 65  2 ...  8 60  0]]",0.042084,0.037231
2400,"[[ 0 28 34 ... 64 25 57]
 [53  0 39 ... 40 66 43]
 [77 45  0 ... 26 95 98]
 ...
 [24 52 28 ...  0 84 28]
 [66 54 20 ... 36  0 49]
 [38 50 99 ...  0 64  0]]",0.045595,0.043672
2500,"[[ 0 73 42 ... 20 41 10]
 [97  0 14 ... 64 21 72]
 [13 87  0 ... 10 96 97]
 ...
 [14 52 77 ...  0 39 32]
 [44 92 50 ...  8  0 56]
 [16 17 12 ... 71 50  0]]",0.060526,0.059202
2600,"[[ 0  2 57 ... 26 71 25]
 [70  0 92 ... 46 36 87]
 [14 27  0 ... 57 63 77]
 ...
 [97  9 25 ...  0 61 77]
 [63 67 74 ... 15  0 35]
 [ 7 97  8 ... 29 22  0]]",0.063414,0.050271
2700,"[[ 0 97 15 ... 15 41 93]
 [22  0 88 ...  4  9 39]
 [60 36  0 ... 37 45 56]
 ...
 [ 4  3  7 ...  0 47 69]
 [88 49 97 ... 32  0 26]
 [52 71 19 ... 27 36  0]]",0.072301,0.053446
2800,"[[ 0 13 91 ... 33 53 81]
 [43  0 31 ... 78  6 50]
 [51 85  0 ... 51 43 63]
 ...
 [88  7 93 ...  0 96 74]
 [49 73 86 ... 90  0 43]
 [96 17 34 ... 58 23  0]]",0.07051,0.058205
2900,"[[ 0 23 93 ... 87 84 84]
 [15  0 28 ... 66 15  4]
 [40 26  0 ... 83 15 37]
 ...
 [93 72 75 ...  0 68 57]
 [72  0 36 ... 15  0  7]
 [10 42 12 ... 62 49  0]]",0.071649,0.061361
3000,"[[ 0 37 36 ...  1 57 16]
 [39  0 63 ... 46 47 81]
 [39 35  0 ... 21  5 17]
 ...
 [47  7 85 ...  0 54 98]
 [13 52 18 ...  9  0 12]
 [77 29 66 ... 29  4  0]]",0.081753,0.076871
3100,"[[ 0 46  5 ... 41 88 20]
 [42  0 51 ... 74 43 93]
 [63 51  0 ... 12  6 75]
 ...
 [42 84 83 ...  0 66 30]
 [20 34 13 ...  0  0 68]
 [13 25 92 ... 57 59  0]]",0.093983,0.071139
3200,"[[ 0 81 58 ... 91 98 80]
 [53  0 17 ... 17 74  7]
 [90 29  0 ... 93 76 38]
 ...
 [68 23  6 ...  0 79 15]
 [91 65 27 ... 27  0 36]
 [66 35 49 ... 68 83  0]]",0.092948,0.075599
3300,"[[ 0  1 40 ... 45 41  7]
 [75  0  6 ... 99 21 45]
 [47 73  0 ... 25  9 42]
 ...
 [ 7 17 44 ...  0 28 33]
 [ 2 96  8 ... 57  0 98]
 [23 37 30 ... 46 86  0]]",0.110294,0.082153
3400,"[[ 0 19 49 ... 98 13 85]
 [53  0 67 ... 59 75  7]
 [52 69  0 ...  8 94 22]
 ...
 [83 77 83 ...  0 58 86]
 [ 9 11 21 ... 20  0 57]
 [10 29  5 ... 71  1  0]]",0.105118,0.087312
3500,"[[ 0 64 31 ... 46 92  5]
 [98  0 13 ... 75 94 62]
 [69 51  0 ... 71 92 77]
 ...
 [22 11 24 ...  0 66 26]
 [ 1 58  7 ... 16  0 11]
 [73 10  3 ... 66  0  0]]",0.11681,0.09243
3600,"[[ 0 29 49 ... 99 92 47]
 [44  0 21 ... 80 17 91]
 [82 24  0 ... 15  0 66]
 ...
 [ 8 22 30 ...  0 73 69]
 [21 97 86 ... 64  0 29]
 [96  0 25 ... 69 18  0]]",0.122831,0.097145
3700,"[[ 0  3 76 ...  2 62 87]
 [35  0 48 ... 46 69 28]
 [34  5  0 ...  9 73 49]
 ...
 [14 54  6 ...  0 36 20]
 [52 61 36 ... 25  0 55]
 [78 31 24 ... 47 56  0]]",0.129647,0.103146
3800,"[[ 0 74 62 ... 59 91 20]
 [16  0 93 ... 70 46 97]
 [86  7  0 ... 78  9  2]
 ...
 [42 59 80 ...  0 65 20]
 [81 72 68 ... 54  0  8]
 [74 26 21 ... 83 27  0]]",0.145987,0.110701
3900,"[[ 0 70  5 ... 53  9 45]
 [88  0 62 ... 79  6 67]
 [ 7 50  0 ...  5 63 12]
 ...
 [29 85 92 ...  0 79 99]
 [92 13 29 ... 17  0 63]
 [35 57 45 ...  8 11  0]]",0.153544,0.124372
4000,"[[ 0 55 70 ... 67 70 24]
 [35  0 58 ... 37 35 43]
 [54 49  0 ... 73 13 63]
 ...
 [20 81 17 ...  0 51 32]
 [12 41 84 ... 37  0 49]
 [18 18 30 ... 83 63  0]]",0.157921,0.127777
4100,"[[ 0 96 37 ... 34 72 94]
 [98  0 14 ... 46  0 88]
 [ 6 19  0 ... 25 40 58]
 ...
 [22 47 60 ...  0 31  6]
 [91 64 64 ... 26  0  6]
 [77 88 68 ... 62 56  0]]",0.180817,0.129608
4200,"[[ 0 18 79 ... 14 97 49]
 [81  0 61 ... 69 90  4]
 [45 78  0 ... 34 45 33]
 ...
 [93  5 24 ...  0 29 30]
 [83  2 33 ... 48  0 21]
 [57 87 40 ... 35 95  0]]",0.187988,0.139401
4300,"[[ 0 76 63 ... 57 64 63]
 [72  0 56 ... 77 25 45]
 [64 39  0 ...  5 59 26]
 ...
 [84 79 65 ...  0 97 69]
 [10 68 67 ... 57  0 29]
 [78 17 52 ... 77 42  0]]",0.186423,0.158939
4400,"[[ 0 14 30 ... 70 41 22]
 [88  0 50 ...  7 85 49]
 [31  7  0 ... 79  1 78]
 ...
 [ 0 76 70 ...  0 69 79]
 [92 74 97 ...  1  0 36]
 [40 17 18 ... 14 31  0]]",0.205628,0.148531
4500,"[[ 0 50 37 ... 94 99 62]
 [ 5  0  7 ... 31 83  7]
 [41 67  0 ... 78  0 25]
 ...
 [40 23 86 ...  0 66 95]
 [31 29 86 ... 52  0  6]
 [44 94  2 ... 59 86  0]]",0.21438,0.155634
4600,"[[ 0 54 64 ... 23 41 83]
 [77  0 67 ... 91 73 44]
 [84 84  0 ... 99 41 82]
 ...
 [11 67 35 ...  0 58 74]
 [34 42 25 ... 83  0 79]
 [53 95 50 ... 85 56  0]]",0.221917,0.163368
4700,"[[ 0 17 10 ... 43 54 62]
 [95  0 30 ... 16 91  6]
 [81 24  0 ... 72 84 36]
 ...
 [36 24 54 ...  0 52 31]
 [57 98 63 ... 69  0 11]
 [88 25 78 ... 33 34  0]]",0.228398,0.175409
4800,"[[ 0  1 22 ... 39 75 65]
 [33  0 66 ... 19 31 88]
 [21 40  0 ... 19 30 38]
 ...
 [68 82 13 ...  0 25 17]
 [55 91 17 ... 46  0 35]
 [41 47 41 ... 58 14  0]]",0.262549,0.178706
4900,"[[ 0 80 69 ... 99 83 35]
 [21  0 57 ... 85 12 24]
 [57 75  0 ... 82 92 23]
 ...
 [26  0  2 ...  0 80 85]
 [53 40  0 ... 50  0 58]
 [13 56 99 ... 27 88  0]]",0.278704,0.188839
5000,"[[ 0 94 35 ...  4 94 21]
 [10  0 16 ... 24 97 64]
 [69 45  0 ... 97 53 13]
 ...
 [92 57 66 ...  0 15 83]
 [44 73 96 ... 80  0 95]
 [99 87 30 ...  9 33  0]]",0.279196,0.195271
