V,graph,ar_time_taken,mh_time_taken
200,"[[ 0 53 87 ... 30 22 60]
 [46  0  0 ... 90 81 82]
 [57 38  0 ... 40  5 25]
 ...
 [34 55 74 ...  0 45 90]
 [74 65  4 ... 37  0 25]
 [54 34 82 ... 91 77  0]]",0.000347,0.000378
300,"[[ 0  7 79 ... 59 59 37]
 [35  0 95 ... 11 14 86]
 [42 95  0 ... 66 25 11]
 ...
 [20 49 16 ...  0 21 97]
 [37  1 55 ... 57  0 20]
 [29 83 29 ... 42 74  0]]",0.000721,0.000733
400,"[[ 0  1  5 ... 86 19 51]
 [57  0 47 ... 97 67 39]
 [10 14  0 ... 57 42 67]
 ...
 [92 14 78 ...  0 36 70]
 [31 64  8 ... 94  0 18]
 [70 11 36 ... 59 43  0]]",0.00128,0.001222
500,"[[ 0 40 44 ... 89 53 73]
 [81  0  7 ... 78 12 23]
 [41 65  0 ... 93 23 51]
 ...
 [86 39 24 ...  0 91 42]
 [37  8 23 ... 94  0 79]
 [52  3 89 ... 72 50  0]]",0.002024,0.001839
600,"[[ 0 28 51 ... 38 33 77]
 [75  0 16 ... 41 90 90]
 [24 23  0 ...  3 89 41]
 ...
 [ 3 70 69 ...  0  1 33]
 [67 35 77 ... 44  0 75]
 [63 92 45 ... 32 22  0]]",0.002816,0.002551
700,"[[ 0 87 77 ... 10 26 44]
 [18  0 71 ... 93 48 84]
 [59 90  0 ... 86 89 93]
 ...
 [78 75 16 ...  0 37 14]
 [95 64 84 ... 95  0 19]
 [ 1 57 86 ... 65 42  0]]",0.003839,0.003462
800,"[[ 0 76 57 ...  2 86 50]
 [34  0 65 ... 59 59 58]
 [27 21  0 ... 67 70 12]
 ...
 [85 28 47 ...  0 73 85]
 [89 84 67 ... 41  0 47]
 [53 38 18 ... 40 71  0]]",0.005,0.004457
900,"[[ 0 40 92 ... 62 24 17]
 [ 0  0 26 ... 18 20 47]
 [ 5 74  0 ... 76 28 57]
 ...
 [25  9 87 ...  0 25 45]
 [43 73 86 ... 98  0 88]
 [37 28 66 ... 99 95  0]]",0.009759,0.005683
1000,"[[ 0  1 68 ... 62 14 95]
 [73  0 31 ... 76 71 13]
 [66 32  0 ... 63 29 34]
 ...
 [ 4 73 67 ...  0  3 31]
 [12 85 84 ... 62  0 86]
 [86 89 63 ... 94  6  0]]",0.00778,0.006745
1100,"[[ 0 35 47 ... 56 87 52]
 [ 1  0 22 ... 98  0 47]
 [28 64  0 ... 38 24 44]
 ...
 [ 3 16 58 ...  0 49 52]
 [44 66 35 ...  8  0 65]
 [43 30 58 ... 10 71  0]]",0.009373,0.008147
1200,"[[ 0 22  2 ... 50 52 33]
 [69  0 23 ... 93 73  3]
 [23 70  0 ... 49 85 88]
 ...
 [18 34 20 ...  0 30 99]
 [51 40 72 ... 15  0 29]
 [43 24 12 ... 84 57  0]]",0.011218,0.009787
1300,"[[ 0 21 95 ...  4 13 89]
 [62  0  5 ... 91 35 26]
 [65 57  0 ... 32 15 33]
 ...
 [40 38 50 ...  0 27  0]
 [29 17 91 ... 60  0 89]
 [88  5 55 ... 72 58  0]]",0.013287,0.011534
1400,"[[ 0  5 59 ... 95 67 39]
 [12  0  8 ... 11 73 16]
 [94 57  0 ... 98 26 24]
 ...
 [65 77 68 ...  0 73 95]
 [ 3 78 46 ... 54  0 10]
 [49 17 51 ... 23 13  0]]",0.01557,0.013118
1500,"[[ 0 59  9 ... 38 86 97]
 [15  0 30 ... 13 62 33]
 [62 66  0 ... 47 44 69]
 ...
 [49  7 95 ...  0 48 45]
 [99 36 33 ... 82  0 61]
 [66 62 74 ... 38  7  0]]",0.01801,0.01563
1600,"[[ 0 81  0 ... 86 74 83]
 [ 3  0 33 ... 79 96 25]
 [86 60  0 ... 68 65 58]
 ...
 [91 88 73 ...  0 49 64]
 [ 0 77 66 ... 82  0 58]
 [57  7 88 ... 57 35  0]]",0.020154,0.017142
1700,"[[ 0 97  3 ... 37 80  8]
 [43  0 92 ... 14 86 44]
 [36 21  0 ... 61 80 78]
 ...
 [14 27 41 ...  0 17 67]
 [58 29 31 ... 69  0  5]
 [40 56 73 ... 86 59  0]]",0.022996,0.020097
1800,"[[ 0 73 35 ... 66 48 74]
 [45  0 89 ... 88 86 74]
 [16 60  0 ... 37 16 87]
 ...
 [72 89 45 ...  0  4  8]
 [75 22 94 ... 71  0 39]
 [26 21 71 ... 28 20  0]]",0.025793,0.02281
1900,"[[ 0 47 10 ... 68 91 30]
 [16  0 96 ... 25 60 31]
 [82 24  0 ... 27 57  2]
 ...
 [97 16 31 ...  0 40 64]
 [91 11 89 ... 73  0 13]
 [31 22  3 ... 35 56  0]]",0.028607,0.025662
2000,"[[ 0 28 68 ... 15 32 27]
 [70  0 92 ... 31 37 18]
 [69 13  0 ... 41 58 27]
 ...
 [ 1 65 85 ...  0 52 13]
 [41 14 68 ... 14  0 98]
 [31 94 12 ... 72  0  0]]",0.031581,0.031468
2100,"[[ 0 67 89 ... 52 43 28]
 [19  0 33 ... 55 66 78]
 [14  2  0 ... 66 74  3]
 ...
 [68 65 57 ...  0 11  9]
 [72 88 26 ... 78  0 85]
 [16  8 53 ... 65 18  0]]",0.035005,0.031002
2200,"[[ 0 33 79 ... 58 40 67]
 [ 2  0 40 ... 61 78 86]
 [46 77  0 ... 62 59  2]
 ...
 [17 75 19 ...  0 11 81]
 [50 64 67 ... 20  0 57]
 [30 83 62 ... 22  4  0]]",0.037803,0.034305
2300,"[[ 0  2 59 ...  2 53 54]
 [47  0 84 ... 34 13 66]
 [29 85  0 ... 33 13 77]
 ...
 [40 68 40 ...  0 52 30]
 [18 59 24 ... 51  0 34]
 [26  6 92 ... 23 14  0]]",0.042656,0.037908
2400,"[[ 0 49 35 ... 91 75 97]
 [96  0 54 ... 11 20 27]
 [28 38  0 ... 89 90 16]
 ...
 [ 1  2 60 ...  0 58 90]
 [84 72  2 ... 77  0 25]
 [18 32 32 ... 13 70  0]]",0.046172,0.040798
2500,"[[ 0 57  1 ... 44  6 66]
 [76  0 95 ... 55 78 64]
 [29  8  0 ... 79 60 35]
 ...
 [25 86 62 ...  0 89 58]
 [72 22 30 ... 80  0 25]
 [83 89 84 ...  9 68  0]]",0.049638,0.043692
2600,"[[ 0 53 73 ... 73 55 44]
 [37  0 15 ... 91 84 68]
 [72 25  0 ... 81 34 72]
 ...
 [15  2 47 ...  0 90  4]
 [54 41 84 ...  0  0 29]
 [45 16 94 ...  9 84  0]]",0.060598,0.048774
2700,"[[ 0 62 90 ...  1 54 98]
 [61  0 32 ... 96 96 45]
 [68 52  0 ... 30 55 77]
 ...
 [ 1 24 93 ...  0 10  2]
 [55 10 71 ... 48  0 14]
 [91 24 35 ... 35 63  0]]",0.059642,0.051737
2800,"[[ 0 76 30 ... 43 84 78]
 [85  0  4 ... 90 96 76]
 [99 70  0 ... 28 94 80]
 ...
 [70 64 33 ...  0 43 30]
 [ 7 95 25 ... 63  0 94]
 [47  3 69 ... 45 55  0]]",0.064296,0.056169
2900,"[[ 0 20 64 ... 23 10 24]
 [ 5  0 83 ... 20 65 16]
 [49 37  0 ... 83 78 42]
 ...
 [70 45 74 ...  0 56 89]
 [54 44 93 ... 41  0 31]
 [74 47 69 ...  1 87  0]]",0.075686,0.071072
3000,"[[ 0 83  6 ... 81 91 78]
 [79  0 52 ... 16 54 53]
 [50  1  0 ... 67  3 90]
 ...
 [28 21 53 ...  0 92 98]
 [41 20 56 ... 22  0 30]
 [18 58 40 ...  5 30  0]]",0.080212,0.06616
3100,"[[ 0 62 37 ... 58 19 23]
 [20  0 98 ... 10 58 97]
 [10 96  0 ... 18 86 82]
 ...
 [16 73 88 ...  0 87 61]
 [23 53 51 ... 83  0 21]
 [ 8 45 26 ... 55 83  0]]",0.082873,0.070285
3200,"[[ 0 87 94 ... 26 63 84]
 [48  0 54 ... 40 94  1]
 [57 21  0 ... 37 35 37]
 ...
 [57 45 28 ...  0 20 59]
 [ 8 73 56 ... 23  0 18]
 [82 66  0 ...  3 46  0]]",0.093376,0.075703
3300,"[[ 0 96 35 ... 57 56 36]
 [54  0 53 ... 15 19 37]
 [44 26  0 ... 50 76 30]
 ...
 [80 39 20 ...  0 67 51]
 [45 53 68 ... 18  0 77]
 [28 54 32 ... 61 45  0]]",0.097854,0.08173
3400,"[[ 0 78 45 ...  7 93  7]
 [52  0 83 ... 87 31 32]
 [93 18  0 ... 13 96 23]
 ...
 [37 93 93 ...  0 75 70]
 [11 26 52 ... 77  0 24]
 [37 53 24 ... 37 17  0]]",0.152709,0.090916
3500,"[[ 0 58  4 ... 97 98  2]
 [72  0 26 ...  7 42 77]
 [ 3 22  0 ...  0 63 43]
 ...
 [45 20 58 ...  0  5 51]
 [27 27 42 ... 34  0 48]
 [46 81 37 ... 34 18  0]]",0.115453,0.090788
3600,"[[ 0 41 39 ... 12 13 52]
 [83  0 54 ... 20 40 30]
 [66 41  0 ... 17 59 33]
 ...
 [ 8 57 80 ...  0 25 73]
 [64 54 10 ... 40  0 68]
 [47 48 18 ... 67 14  0]]",0.116962,0.095753
3700,"[[ 0 40 24 ...  5 11 35]
 [39  0  2 ... 96 65 60]
 [21  3  0 ... 46 97 45]
 ...
 [56 35 90 ...  0 76 26]
 [12 10  6 ... 94  0 24]
 [59 79 55 ... 56 49  0]]",0.131205,0.10405
3800,"[[ 0 86 80 ... 12 37 33]
 [50  0 64 ... 58 43 99]
 [10 87  0 ... 76  6  7]
 ...
 [51 19 78 ...  0 79 17]
 [90 53  4 ... 91  0 68]
 [12 11 36 ... 20 44  0]]",0.131043,0.107039
3900,"[[ 0 26 70 ... 52  1 37]
 [56  0 23 ... 33 41 88]
 [28 54  0 ... 77 95 61]
 ...
 [31 65  9 ...  0 44  3]
 [93 27 27 ... 76  0 82]
 [74 13 98 ... 74 90  0]]",0.15776,0.116576
4000,"[[ 0 92 48 ... 34 27 19]
 [12  0 35 ...  9 93 18]
 [ 6  6  0 ... 60 47 63]
 ...
 [48 82  0 ...  0  4 23]
 [71 39 98 ... 99  0 87]
 [64  8 22 ... 61 14  0]]",0.155664,0.121238
4100,"[[ 0 28 48 ... 47 61 42]
 [94  0 87 ... 34 32 28]
 [56 20  0 ... 77 19 48]
 ...
 [95 44  8 ...  0 26 58]
 [ 5 75 40 ... 43  0 73]
 [66 25 82 ... 47 88  0]]",0.176258,0.129211
4200,"[[ 0 37 77 ... 23 64 59]
 [ 0  0 78 ... 79 66 72]
 [83 28  0 ... 10 13 56]
 ...
 [ 4 30  9 ...  0 46 42]
 [94 71 87 ... 17  0 36]
 [52 52 21 ...  1 75  0]]",0.164744,0.132792
4300,"[[ 0 89 13 ... 63 99 57]
 [13  0 45 ... 61 69 74]
 [84 44  0 ... 20 88 92]
 ...
 [83 40 80 ...  0 52 70]
 [46 25 21 ... 84  0 87]
 [ 0 65 56 ... 33 14  0]]",0.160921,0.138389
4400,"[[ 0  1 95 ...  8 82 91]
 [99  0 51 ... 48 15 91]
 [58 22  0 ...  7  5 68]
 ...
 [16 31 16 ...  0 24 29]
 [83 63 58 ... 46  0 18]
 [47 58 84 ... 63 44  0]]",0.220894,0.150154
4500,"[[ 0 74 56 ... 12 34 65]
 [94  0 11 ...  7 72 23]
 [66 54  0 ...  4 11 14]
 ...
 [76 51 23 ...  0 22 49]
 [69 33 32 ... 39  0 47]
 [98 82 42 ... 20 75  0]]",0.241527,0.1598
4600,"[[ 0 61 65 ... 36 45 72]
 [49  0 22 ...  4 25 88]
 [32 12  0 ... 72  8 41]
 ...
 [64 20 48 ...  0 24 85]
 [24 94 76 ... 39  0 99]
 [74 44  0 ... 16 30  0]]",0.18345,0.156764
4700,"[[ 0 15 87 ...  6 47 60]
 [45  0 53 ... 67 13 24]
 [97 30  0 ... 19  2  7]
 ...
 [90 75 63 ...  0 10  1]
 [69 32 27 ... 61  0 91]
 [74  8 47 ... 10  4  0]]",0.225748,0.166974
4800,"[[ 0 60 56 ...  2 73 36]
 [77  0  7 ... 74  1  0]
 [29 58  0 ... 98 65 60]
 ...
 [81 46 62 ...  0 61 56]
 [71 21 16 ... 57  0 43]
 [ 5 41 99 ... 65 70  0]]",0.263423,0.179313
4900,"[[ 0 80 65 ... 19 84 39]
 [61  0 96 ... 69 67 70]
 [29 65  0 ... 36  3 19]
 ...
 [ 7 36 91 ...  0 96 20]
 [90 25 77 ... 67  0 31]
 [61 19 85 ... 64 33  0]]",0.268495,0.188639
5000,"[[ 0 43 18 ...  2 64 26]
 [88  0 98 ... 15 88  9]
 [12 35  0 ...  5 82 89]
 ...
 [97 13  4 ...  0 41 17]
 [33 32 61 ... 32  0 63]
 [75 30 56 ... 32 39  0]]",0.282468,0.195879
