V,graph,ar_time_taken,mh_time_taken
200,"[[ 0 82 47 ... 92 83 70]
 [43  0 20 ... 88 77 86]
 [29 77  0 ... 75 15 30]
 ...
 [52 79 59 ...  0 68 71]
 [97 85 14 ... 37  0 84]
 [19 52  3 ...  0 42  0]]",0.00036,0.000556
300,"[[ 0 76 58 ... 19 11  9]
 [ 3  0  5 ... 76 34 68]
 [14 92  0 ... 25 71 67]
 ...
 [ 0 65 83 ...  0 13 66]
 [45 26 16 ... 96  0 27]
 [59 82 26 ... 76 88  0]]",0.000744,0.00074
400,"[[ 0 67 24 ...  2 66 44]
 [67  0 28 ... 45 82 78]
 [64 91  0 ... 95 24 53]
 ...
 [40 54 46 ...  0 96 64]
 [23 27 11 ... 15  0 49]
 [50 10 91 ... 11 15  0]]",0.001266,0.001236
500,"[[ 0 90  5 ... 62 92 36]
 [79  0 60 ... 35 96 44]
 [43 92  0 ... 39 90 47]
 ...
 [71 49 70 ...  0 34 55]
 [53 98 61 ... 61  0 87]
 [84  2 20 ... 89 97  0]]",0.002123,0.001987
600,"[[ 0 52 72 ... 52  6 68]
 [ 7  0 38 ... 89 72 59]
 [76 62  0 ...  1 91 79]
 ...
 [89 27 60 ...  0 99 51]
 [64 60 88 ... 90  0 23]
 [12  1  8 ... 70 72  0]]",0.002947,0.00263
700,"[[ 0 82 43 ... 43 15 58]
 [37  0 35 ... 83 44 87]
 [34 24  0 ... 60 87 57]
 ...
 [87 69 75 ...  0 11 23]
 [ 4  9 91 ... 12  0 33]
 [14 98 96 ... 53 15  0]]",0.003849,0.003585
800,"[[ 0 84 18 ... 93 36 33]
 [ 5  0 28 ... 20 59 84]
 [94 72  0 ...  2 92 46]
 ...
 [77  9 17 ...  0 58  8]
 [84 30 68 ... 78  0 75]
 [15 14 45 ... 68 14  0]]",0.004896,0.004508
900,"[[ 0 32 29 ... 69 70  3]
 [85  0 75 ... 89 55 54]
 [47 40  0 ... 46 69 83]
 ...
 [99 87  0 ...  0 78 27]
 [99 78  5 ... 15  0 36]
 [80 40 19 ... 41  5  0]]",0.006617,0.005764
1000,"[[ 0  4 43 ... 54 65 31]
 [68  0 45 ... 78 80 52]
 [66  7  0 ... 32 94 52]
 ...
 [65 31 34 ...  0 92  4]
 [17 79 85 ... 53  0 53]
 [21 39 75 ... 86 34  0]]",0.008045,0.006903
1100,"[[ 0 43 16 ... 25 85  9]
 [15  0 22 ... 49 10 84]
 [ 9 12  0 ... 95  1 54]
 ...
 [73 44 56 ...  0 13  7]
 [36 71 17 ... 83  0 22]
 [17 21 95 ... 13 52  0]]",0.009881,0.00834
1200,"[[ 0 86 48 ... 44  2 41]
 [71  0 60 ... 55  2 85]
 [18 73  0 ... 93 90 25]
 ...
 [38  1 62 ...  0 53 11]
 [20 78 11 ... 18  0 36]
 [95 44 73 ... 18 70  0]]",0.011323,0.009944
1300,"[[ 0 22 13 ...  6 51  7]
 [96  0 56 ...  1 35 48]
 [92 31  0 ... 80 10 16]
 ...
 [66 31 76 ...  0 30 65]
 [59 74 38 ... 60  0 68]
 [16  9 78 ... 52 37  0]]",0.013408,0.011802
1400,"[[ 0 71 72 ... 51 46 29]
 [95  0 54 ... 75 79 83]
 [47 86  0 ... 22 85 70]
 ...
 [16 25 29 ...  0 11 51]
 [19 63 63 ... 47  0 56]
 [ 5 93 49 ... 72 65  0]]",0.01559,0.013498
1500,"[[ 0 19 48 ... 81 86 50]
 [82  0 71 ... 37 25 93]
 [ 7 60  0 ... 99 30 71]
 ...
 [70 12  4 ...  0 76 27]
 [29 27 64 ... 94  0 24]
 [95 61 82 ... 85 81  0]]",0.018197,0.015457
1600,"[[ 0 80 29 ... 90 31  2]
 [63  0 26 ... 78 91 66]
 [68 25  0 ... 94 36 94]
 ...
 [65 66  7 ...  0 62 97]
 [14 50 41 ... 34  0 23]
 [77 61 13 ... 22 54  0]]",0.020507,0.017607
1700,"[[ 0 56 45 ... 32 35 53]
 [95  0 27 ... 80 65 38]
 [16  7  0 ... 62 85 39]
 ...
 [29  2 20 ...  0 55 64]
 [ 7 93 88 ...  6  0 74]
 [52 89 75 ... 79 21  0]]",0.023169,0.020094
1800,"[[ 0 36 99 ... 30 17 74]
 [10  0 32 ... 94 77 95]
 [46 77  0 ...  6 34 89]
 ...
 [78 34  7 ...  0 56 58]
 [93 94  4 ... 72  0 23]
 [28 50 88 ... 41 80  0]]",0.026241,0.022564
1900,"[[ 0  0  3 ... 88  6 35]
 [ 9  0 39 ... 80 45  3]
 [13 23  0 ... 46 10 95]
 ...
 [25 66 86 ...  0  2 70]
 [64  8 16 ...  7  0 12]
 [ 9 55 90 ... 66 77  0]]",0.028663,0.0252
2000,"[[ 0 37 94 ... 73 87 93]
 [59  0 18 ... 30 33 89]
 [63 30  0 ... 80 46 82]
 ...
 [ 0 64  8 ...  0 86 16]
 [15 49 58 ... 53  0 14]
 [39  8 51 ... 37 69  0]]",0.031933,0.028031
2100,"[[ 0  4 81 ... 34 87  1]
 [60  0 33 ... 31 29 71]
 [42 25  0 ... 87 35 97]
 ...
 [26 30 35 ...  0  3 36]
 [96 72 59 ... 99  0 42]
 [94  8 74 ... 64 63  0]]",0.035249,0.03132
2200,"[[ 0 60 36 ... 42 90  5]
 [ 3  0  9 ... 68 15 80]
 [89 38  0 ... 58 57 19]
 ...
 [45 55 46 ...  0 55 37]
 [78 93 36 ... 38  0 99]
 [ 0 39 16 ... 87 71  0]]",0.039349,0.034683
2300,"[[ 0 37 29 ... 24 35 84]
 [47  0 49 ... 38  6 58]
 [48 10  0 ... 47 27  2]
 ...
 [55 45 55 ...  0 24 73]
 [ 3 37 67 ... 92  0 77]
 [ 0 10 33 ... 71 96  0]]",0.042104,0.037446
2400,"[[ 0  6 96 ... 91 10 68]
 [77  0 12 ... 53 80  1]
 [93 22  0 ... 18 72 61]
 ...
 [39 12 24 ...  0 25 94]
 [74 47 12 ... 93  0 25]
 [18 27 16 ... 92 56  0]]",0.047468,0.040815
2500,"[[ 0 62 60 ... 16 54 19]
 [43  0 49 ... 96 54 48]
 [57 78  0 ... 75  6 71]
 ...
 [21 59 52 ...  0 47 73]
 [68 92 55 ... 16  0 23]
 [56 58 50 ... 47 54  0]]",0.051241,0.044482
2600,"[[ 0  1 14 ... 81 28 39]
 [42  0 87 ...  8 86 60]
 [47 50  0 ... 19 61  3]
 ...
 [51 79 10 ...  0 86 37]
 [44 43 60 ... 45  0 45]
 [90 25 44 ... 23  4  0]]",0.055642,0.047619
2700,"[[ 0 51  4 ... 44 10 98]
 [56  0 87 ... 84 67 36]
 [52 31  0 ... 49 38 67]
 ...
 [14 14 60 ...  0 56 68]
 [67 25 98 ... 86  0 26]
 [41 42 67 ... 29 53  0]]",0.061966,0.052396
2800,"[[ 0 23  2 ...  2 67 50]
 [34  0 23 ... 18 48 50]
 [62 11  0 ... 96 59 99]
 ...
 [59 41 30 ...  0 50 44]
 [ 9 80  6 ...  9  0 69]
 [ 2 91 69 ... 12 99  0]]",0.066388,0.056132
2900,"[[ 0 26 23 ... 55 39 71]
 [24  0 55 ... 30 85 49]
 [47 13  0 ... 56  4 62]
 ...
 [30 95 60 ...  0 17 51]
 [ 3 25 23 ...  3  0  9]
 [16 44 38 ... 73  9  0]]",0.06993,0.060692
3000,"[[ 0  8 97 ... 35 98 24]
 [94  0 31 ... 25 92 99]
 [17 83  0 ... 85 12 61]
 ...
 [82 95 76 ...  0 72 48]
 [73 71 86 ... 78  0 43]
 [90 42 47 ... 76 48  0]]",0.071882,0.065397
3100,"[[ 0 16 57 ... 67 48 46]
 [32  0 91 ... 68 56 35]
 [ 6 67  0 ... 52 54 83]
 ...
 [ 8 95 50 ...  0 92 14]
 [86  9  9 ... 85  0 66]
 [77  6 81 ... 42 87  0]]",0.086891,0.070221
3200,"[[ 0 48 69 ...  2 83 33]
 [46  0 70 ... 94 54 64]
 [73 67  0 ... 52 26 10]
 ...
 [44 87 37 ...  0 93 94]
 [27  9 87 ...  0  0 91]
 [54 79  9 ... 70 42  0]]",0.08172,0.075215
3300,"[[ 0 61 64 ... 64 92 68]
 [56  0  6 ...  9 43  5]
 [53 57  0 ... 34 90 13]
 ...
 [73 89 14 ...  0 10 33]
 [ 9 32 40 ... 68  0 75]
 [27 98 94 ... 55 68  0]]",0.095488,0.080113
3400,"[[ 0 36 68 ... 89  5 76]
 [97  0 89 ... 44  1 36]
 [86 26  0 ... 62 88 15]
 ...
 [55 40 97 ...  0 82 42]
 [15 34 80 ...  3  0 38]
 [20 54 57 ... 91 52  0]]",0.107287,0.087018
3500,"[[ 0 63  3 ...  6 28  4]
 [91  0 91 ... 14 32 33]
 [65 86  0 ... 65 83 77]
 ...
 [22 16 19 ...  0 86 11]
 [60 26 62 ... 82  0 96]
 [40 33 35 ... 71 15  0]]",0.116716,0.092463
3600,"[[ 0 38 52 ... 18 99 10]
 [54  0  1 ... 39 82 39]
 [43  5  0 ... 99 22 22]
 ...
 [17 65 92 ...  0 28 32]
 [16 59 56 ... 98  0  4]
 [ 4 85 23 ... 99 70  0]]",0.119248,0.09681
3700,"[[ 0 79 22 ... 16 57 61]
 [30  0 78 ... 72 86 92]
 [ 4 44  0 ... 42 10 97]
 ...
 [86 57 70 ...  0 20 86]
 [37 54 59 ... 10  0 33]
 [33 74  6 ... 22 67  0]]",0.130633,0.103882
3800,"[[ 0 32  1 ...  4 25 70]
 [10  0 47 ... 55 75 33]
 [21 64  0 ... 79 24 20]
 ...
 [12 79 14 ...  0 14 84]
 [92 95 35 ... 22  0 70]
 [15 55 26 ... 37 85  0]]",0.129733,0.10845
3900,"[[ 0 33 51 ... 41 92 42]
 [24  0  7 ... 59 96 64]
 [99 30  0 ...  5 68 89]
 ...
 [88 53 54 ...  0 95 10]
 [49 45 56 ... 17  0 96]
 [ 9 19 96 ... 62 51  0]]",0.137665,0.114468
4000,"[[ 0 76 55 ... 39 56 40]
 [11  0 21 ... 13 81 82]
 [91 79  0 ... 55  0 94]
 ...
 [23 13 49 ...  0 48 38]
 [94 38 23 ... 22  0 30]
 [88 46 96 ... 88 62  0]]",0.138004,0.119115
4100,"[[ 0 26 73 ... 76 74 92]
 [80  0 32 ... 76 44 22]
 [59 30  0 ... 54 38 96]
 ...
 [14 97 72 ...  0 50 90]
 [20 63 98 ... 25  0 57]
 [84 49  5 ... 39  5  0]]",0.151613,0.126025
4200,"[[ 0 50 83 ... 11 23 16]
 [82  0  0 ... 69 70 78]
 [56 13  0 ... 99 32 99]
 ...
 [87 26 42 ...  0 29 20]
 [14 39 55 ... 86  0 35]
 [18 83 75 ... 82 20  0]]",0.169056,0.132474
4300,"[[ 0 98 79 ...  7 26 45]
 [32  0 35 ... 33 32 89]
 [63 70  0 ... 57 29 32]
 ...
 [96 87 28 ...  0 25 47]
 [89 36 45 ... 80  0 52]
 [89 82 15 ... 59 21  0]]",0.176978,0.139515
4400,"[[ 0 44 56 ... 82 42 99]
 [72  0  4 ... 26 77 53]
 [69 10  0 ... 37 53 30]
 ...
 [86 98 51 ...  0 30 26]
 [61 56 61 ... 53  0 86]
 [49 77 85 ... 62 26  0]]",0.191032,0.147154
4500,"[[ 0 51 40 ... 56 65 47]
 [ 9  0 83 ... 43 31 39]
 [72 17  0 ... 80 39  8]
 ...
 [99 76 58 ...  0 75 98]
 [26 92 12 ... 32  0 11]
 [74 53 18 ... 64 51  0]]",0.213977,0.156891
4600,"[[ 0 20 13 ...  9 67 48]
 [ 4  0 73 ... 19 83 51]
 [47 19  0 ... 63 98 19]
 ...
 [55 29  3 ...  0 54 84]
 [57 35 94 ... 36  0 72]
 [46 71 52 ... 77 78  0]]",0.225126,0.161843
4700,"[[ 0 54 13 ...  2 33 56]
 [40  0  3 ...  7 87 36]
 [44 72  0 ... 19 74 40]
 ...
 [45 32 58 ...  0 57 30]
 [33 58  6 ... 14  0 73]
 [65 21 24 ... 26 79  0]]",0.225134,0.168251
4800,"[[ 0 50 93 ... 17 39 82]
 [24  0 87 ... 29 55 91]
 [82 25  0 ... 26 45 49]
 ...
 [62 48 20 ...  0 55 89]
 [92  8 27 ... 13  0 21]
 [22 23 80 ... 41 69  0]]",0.250157,0.177884
4900,"[[ 0 18 48 ... 34 46 40]
 [79  0 26 ... 10  3 30]
 [49 18  0 ... 91 62 25]
 ...
 [45 86  8 ...  0  4 23]
 [81 48 65 ... 93  0 18]
 [25 59 23 ... 30 27  0]]",0.229879,0.180336
5000,"[[ 0 63 37 ...  3 17 66]
 [22  0 12 ...  3 69 26]
 [13 38  0 ... 17  8 70]
 ...
 [80 88  8 ...  0  0 13]
 [ 6 26 46 ... 56  0 47]
 [29 74 37 ... 31 37  0]]",0.260575,0.191309
