V,graph,ar_time_taken,mh_time_taken
110,"[[ 0 80 51 ... 21 14 36]
 [63  0 85 ... 58 64 78]
 [76 12  0 ... 95 27 87]
 ...
 [89 20 66 ...  0 87 88]
 [25  8 24 ... 21  0 65]
 [74 49 59 ... 16 28  0]]",0.00013,9.1e-05
120,"[[ 0 23 96 ... 51 91 80]
 [78  0 99 ... 16 98 48]
 [65 60  0 ... 77  9 22]
 ...
 [ 3 88 98 ...  0 77 87]
 [50 86 62 ... 54  0 48]
 [69 75 18 ... 13 95  0]]",0.000109,0.000112
130,"[[ 0  5 71 ... 64  3 32]
 [49  0 18 ... 57 73 83]
 [36  3  0 ...  8 53 70]
 ...
 [47 50 50 ...  0 54 90]
 [90 65  2 ...  9  0 69]
 [ 3 66 18 ...  0 50  0]]",0.000166,0.000124
140,"[[ 0 54  0 ... 65 61 98]
 [34  0 94 ... 81 49 36]
 [21 28  0 ... 78 86 18]
 ...
 [29 62 14 ...  0  4 55]
 [40 41 80 ... 91  0 89]
 [80 35  5 ... 34 96  0]]",0.000141,0.000144
150,"[[ 0 61 84 ... 45 85  5]
 [93  0 60 ... 14 63 74]
 [10 84  0 ... 95 55 73]
 ...
 [41  5 31 ...  0 12 15]
 [25 34 41 ... 94  0 48]
 [95 63 67 ... 78 27  0]]",0.000146,0.000186
160,"[[ 0 75 76 ... 59 80 77]
 [13  0 69 ... 36 72 88]
 [34  0  0 ... 37 20 56]
 ...
 [97 16 13 ...  0 39 86]
 [95 53 22 ...  7  0 59]
 [ 7 86  0 ... 59 23  0]]",0.000182,0.000192
170,"[[ 0 46 85 ... 26 87 49]
 [26  0 51 ... 21 19 53]
 [61 65  0 ... 73 36 51]
 ...
 [55  9 56 ...  0 23 27]
 [81 49 72 ... 54  0 31]
 [14 20 96 ... 20 25  0]]",0.000189,0.000211
180,"[[ 0 75 24 ... 35  9 80]
 [67  0 29 ... 70  8 38]
 [25 45  0 ... 37 50 90]
 ...
 [86 54 13 ...  0 74 22]
 [56  6 15 ... 91  0 85]
 [82  4 15 ...  5 89  0]]",0.000207,0.000228
190,"[[ 0 94 62 ... 97 99  7]
 [72  0 17 ... 99 67  6]
 [67 60  0 ... 36 35 82]
 ...
 [18 55 58 ...  0 97 59]
 [62 44 33 ... 23  0 50]
 [80 37 13 ... 99 39  0]]",0.000226,0.000244
200,"[[ 0 26  6 ... 62 43 84]
 [40  0 26 ... 56 81  0]
 [94 36  0 ... 20 35 13]
 ...
 [59 21 50 ...  0 15 61]
 [92 81 68 ... 61  0  1]
 [77 35 21 ... 10 22  0]]",0.000249,0.000271
210,"[[ 0 92 53 ... 72  1 39]
 [88  0 77 ... 19 13 46]
 [74 17  0 ... 43 50 95]
 ...
 [50 35 33 ...  0 17 91]
 [19 36 27 ... 65  0 37]
 [32 69 58 ... 71 67  0]]",0.000344,0.000342
220,"[[ 0 24  7 ... 35 63 64]
 [ 7  0 35 ... 58  8 12]
 [47 60  0 ... 31 48  6]
 ...
 [53 31 52 ...  0 60 29]
 [ 0 72 25 ... 38  0 47]
 [17 69  0 ... 71 75  0]]",0.000296,0.000319
230,"[[ 0  0 45 ... 67 54  5]
 [91  0 42 ... 10 66 13]
 [62 29  0 ... 63  8 38]
 ...
 [91 23 77 ...  0 61 93]
 [ 1 30 35 ... 91  0 22]
 [66  1 33 ... 37 16  0]]",0.000322,0.000345
240,"[[ 0  1 33 ... 58 94 79]
 [38  0 87 ... 34 13 74]
 [13 27  0 ... 59 12 40]
 ...
 [54 29 18 ...  0 11 79]
 [80 32 38 ... 70  0  3]
 [78 98 15 ... 54 73  0]]",0.000361,0.000365
250,"[[ 0 29 24 ... 64 24 47]
 [56  0 85 ... 52 21 77]
 [76 12  0 ... 18 97 84]
 ...
 [37 73  2 ...  0 67  2]
 [19 71  7 ... 95  0 74]
 [64 36  2 ... 90 85  0]]",0.000379,0.000394
260,"[[ 0 31 39 ... 24  4 40]
 [79  0 22 ... 44 61 50]
 [83 55  0 ... 92 73 57]
 ...
 [81  5 71 ...  0 59 94]
 [ 5 50 70 ... 31  0 79]
 [41 12 98 ... 28  7  0]]",0.000417,0.00041
270,"[[ 0 55 24 ... 57 13 81]
 [ 1  0 89 ... 36 12 46]
 [79 14  0 ... 81 27 60]
 ...
 [51 67 12 ...  0 49 50]
 [ 7 75 65 ...  4  0 56]
 [14  2 87 ... 52 64  0]]",0.000413,0.000436
280,"[[ 0 53 90 ... 48 71 83]
 [ 3  0 61 ...  8 90 57]
 [19 91  0 ... 90 91 80]
 ...
 [53 79 99 ...  0 11 28]
 [23  1 16 ... 92  0 67]
 [47 19 40 ... 13  3  0]]",0.002384,0.001383
290,"[[ 0 49 17 ... 87 58 83]
 [44  0 13 ... 35 71 53]
 [86 95  0 ... 78 56 38]
 ...
 [58 14 63 ...  0  2 91]
 [44 92 14 ... 37  0 39]
 [75 57 83 ... 17 50  0]]",0.000995,0.000645
300,"[[ 0  6 68 ... 46 13 39]
 [87  0 40 ... 55 11 80]
 [44 24  0 ... 13 43 27]
 ...
 [64 36 61 ...  0 38 59]
 [40 39 38 ... 67  0 88]
 [96  8 88 ... 60 15  0]]",0.000605,0.00058
310,"[[ 0 15 68 ... 86 55 77]
 [14  0 17 ... 25 77 91]
 [17 53  0 ... 90 56 48]
 ...
 [ 9  8 10 ...  0 68 69]
 [52 35 24 ... 73  0 61]
 [94 22 22 ... 48 47  0]]",0.000591,0.000574
320,"[[ 0  2 11 ... 57 47  1]
 [91  0 37 ... 72 53 54]
 [97 59  0 ... 41 62 37]
 ...
 [16 93 56 ...  0 49 49]
 [20 36 72 ... 89  0 60]
 [ 1 92 12 ... 92 64  0]]",0.00059,0.000602
330,"[[ 0 63 55 ... 49 24 27]
 [63  0 54 ... 46  0 99]
 [53 48  0 ... 56 44 46]
 ...
 [22 73  7 ...  0 66 26]
 [34 87 93 ...  2  0 74]
 [40 13 59 ... 84 78  0]]",0.000618,0.000636
340,"[[ 0 19  2 ... 34 51 91]
 [65  0 16 ... 57 89 93]
 [40 19  0 ... 79  5 73]
 ...
 [28 94 56 ...  0 79  5]
 [66 45 86 ... 54  0 40]
 [48 26 39 ... 70 87  0]]",0.000661,0.000663
350,"[[ 0 53 80 ... 31 61 40]
 [27  0 21 ... 25 88  8]
 [61 48  0 ... 47 21 43]
 ...
 [64 17 79 ...  0 38 11]
 [81 55 45 ... 82  0 96]
 [26 75 11 ... 72 49  0]]",0.000679,0.000641
360,"[[ 0 38 63 ...  1 92 72]
 [59  0 34 ... 50  0 49]
 [91 40  0 ... 41 33 75]
 ...
 [85 24 90 ...  0 15 72]
 [70 33 23 ... 25  0 53]
 [ 0 72 43 ... 55 99  0]]",0.000718,0.000687
370,"[[ 0 41 37 ... 51 35 96]
 [61  0 53 ... 16 68 68]
 [12 65  0 ... 62 68 78]
 ...
 [28 40 57 ...  0 26 49]
 [60 83  2 ... 91  0 14]
 [34 93 41 ... 85 53  0]]",0.000718,0.000808
380,"[[ 0 93 96 ... 14 45 47]
 [11  0 45 ... 41 41 70]
 [57  5  0 ... 50 12 11]
 ...
 [44 21 89 ...  0 38 41]
 [69 28 27 ... 43  0  5]
 [30 89 48 ... 13 87  0]]",0.000756,0.000921
390,"[[ 0 44 91 ... 56 98 20]
 [65  0 59 ...  9 58 21]
 [79 93  0 ... 28 32 55]
 ...
 [81 56 94 ...  0 40 38]
 [92 34 66 ... 89  0 52]
 [90 78 80 ... 30 68  0]]",0.003186,0.001809
400,"[[ 0 35 54 ... 45 67 27]
 [93  0 94 ...  4 40 90]
 [90 67  0 ...  3 98 26]
 ...
 [ 0 93  6 ...  0  6  4]
 [33 78 28 ... 64  0 30]
 [13 35 15 ... 27 85  0]]",0.000944,0.000934
410,"[[ 0 79 17 ... 93 63 47]
 [ 0  0 67 ... 14 47 50]
 [23 64  0 ... 18 17 77]
 ...
 [50 84 71 ...  0  6 42]
 [49 79 80 ... 39  0 37]
 [90 21 42 ... 63 82  0]]",0.000834,0.000831
420,"[[ 0 32 28 ... 85 89 73]
 [42  0  0 ... 23 78 25]
 [67 54  0 ... 60 97 25]
 ...
 [13 83 18 ...  0 61 11]
 [71  2 22 ... 98  0 56]
 [62 10  2 ... 68 28  0]]",0.001048,0.000886
430,"[[ 0 47 15 ... 90  7  0]
 [77  0 99 ...  9  8 79]
 [41 35  0 ... 19 96 75]
 ...
 [ 3 95 33 ...  0 63 77]
 [76 27 20 ... 25  0 77]
 [85 92 29 ... 18 82  0]]",0.000946,0.000882
440,"[[ 0 51 43 ... 14 92 11]
 [61  0 53 ... 70 66 40]
 [37 65  0 ... 49 83 35]
 ...
 [61 54 46 ...  0 30 40]
 [45 12 77 ... 96  0 53]
 [54 43 82 ... 15 38  0]]",0.000932,0.000925
450,"[[ 0 30 37 ... 29 81  3]
 [31  0 21 ... 10 88 63]
 [52 46  0 ... 22 33 23]
 ...
 [90 96 37 ...  0 89 65]
 [47 48 25 ... 31  0 46]
 [53 30  5 ... 72 11  0]]",0.001074,0.000966
460,"[[ 0 12 85 ...  7 14  9]
 [91  0 13 ... 18 67 69]
 [87 37  0 ... 37 40 96]
 ...
 [ 7 52 70 ...  0 98 40]
 [46  3 31 ...  1  0 12]
 [55  9 29 ... 92 25  0]]",0.001511,0.001077
470,"[[ 0 65 96 ... 52 92 38]
 [67  0 80 ... 66 73 34]
 [62 86  0 ... 21 56 17]
 ...
 [74 25 86 ...  0 34 89]
 [ 4 87 62 ... 72  0 77]
 [94 10  2 ... 80 60  0]]",0.001957,0.001172
480,"[[ 0 33 69 ... 23  0 57]
 [54  0 43 ... 61 93 99]
 [38 25  0 ... 76 60 96]
 ...
 [72 38 55 ...  0 77 75]
 [44 38 34 ... 62  0  1]
 [13 76  8 ... 83 76  0]]",0.001165,0.001099
490,"[[ 0 14 39 ... 70 59 32]
 [16  0 80 ... 71 66 38]
 [56 64  0 ... 46 26 70]
 ...
 [63 82 21 ...  0 16 16]
 [15 20 88 ... 17  0 45]
 [51 41 87 ... 27 23  0]]",0.002475,0.001488
500,"[[ 0 54  1 ... 79 78 99]
 [59  0 35 ... 62  6 40]
 [52 12  0 ...  3  1 85]
 ...
 [90 71 89 ...  0  9 70]
 [95  3 94 ... 60  0 95]
 [42 59  5 ...  6 39  0]]",0.001798,0.001385
510,"[[ 0 97 12 ... 52  6 54]
 [98  0 74 ... 71 35  8]
 [57 88  0 ... 16 85 33]
 ...
 [63 12 64 ...  0 57 43]
 [ 3 43  1 ... 56  0 50]
 [48 72 78 ... 14 41  0]]",0.001403,0.001306
520,"[[ 0  5 35 ... 29 96 18]
 [88  0 24 ...  7 72 94]
 [ 4 84  0 ... 45 79 80]
 ...
 [52 59 52 ...  0 84 37]
 [17 75  5 ... 10  0 76]
 [66 34 52 ... 32 64  0]]",0.001506,0.001414
530,"[[ 0 81  5 ...  0 13 68]
 [ 9  0 42 ... 43 68 44]
 [34 21  0 ... 25  9 98]
 ...
 [59 17 39 ...  0 70 11]
 [82 33 52 ... 89  0 98]
 [20 94 96 ... 18 61  0]]",0.00152,0.001463
540,"[[ 0 21 32 ... 49  7 35]
 [98  0 32 ... 14 67 49]
 [13 89  0 ...  6 97 68]
 ...
 [35 89  5 ...  0 85 96]
 [36 93 94 ... 92  0 21]
 [98  6 31 ... 87 75  0]]",0.003419,0.002272
550,"[[ 0 19 80 ...  6 98 47]
 [37  0 44 ... 10 41 50]
 [99  2  0 ... 42 47 99]
 ...
 [10  8  4 ...  0 38 15]
 [19 42  8 ... 34  0  7]
 [83 29 74 ... 78 64  0]]",0.002353,0.001587
560,"[[ 0 50 85 ... 20 89 87]
 [57  0  3 ...  2 99 79]
 [78 91  0 ... 13 87 11]
 ...
 [11 20 42 ...  0 98 49]
 [22 65 30 ... 43  0 47]
 [67 41 70 ... 30 51  0]]",0.00174,0.001629
570,"[[ 0 74 38 ...  8 31 94]
 [60  0  7 ... 78 90  9]
 [68 17  0 ... 44 18 98]
 ...
 [78  5 73 ...  0 53 95]
 [90 88 12 ...  2  0 18]
 [ 1 17 15 ...  4 94  0]]",0.001819,0.00162
580,"[[ 0  7 83 ... 39 96 45]
 [26  0 32 ... 94 23 43]
 [48 48  0 ... 92 82 33]
 ...
 [99 29 27 ...  0 74 37]
 [14  6 78 ... 11  0 18]
 [10 89 16 ... 79 80  0]]",0.001686,0.00162
590,"[[ 0 83 10 ... 97  5 75]
 [13  0 32 ... 90 13 97]
 [41 43  0 ... 62 11 73]
 ...
 [ 0 34 13 ...  0 32  1]
 [48 73 77 ... 80  0 97]
 [62 92 78 ... 23 43  0]]",0.001806,0.001744
600,"[[ 0 17 30 ... 30 89 71]
 [54  0 51 ... 62 37 44]
 [91 19  0 ... 42 14 92]
 ...
 [77 40 65 ...  0  9  2]
 [91 79 37 ... 94  0 70]
 [ 4 93 12 ... 31 92  0]]",0.001904,0.001711
610,"[[ 0 61 62 ... 81 93 32]
 [15  0 73 ... 72 95 11]
 [94  1  0 ... 39 41 35]
 ...
 [ 8 75 59 ...  0 90 27]
 [24 40 66 ...  4  0 70]
 [ 6 12 56 ... 12 35  0]]",0.005077,0.001906
620,"[[ 0 19 59 ... 44 19 94]
 [61  0 40 ... 20 93 44]
 [37 21  0 ... 71 76 26]
 ...
 [23 93 74 ...  0 81 84]
 [32 99 73 ... 69  0 46]
 [24 54 22 ... 32 48  0]]",0.001903,0.001797
630,"[[ 0 26 42 ... 29 92 82]
 [95  0 40 ... 43 42 70]
 [50 32  0 ... 76 23 30]
 ...
 [77 95 94 ...  0 82 29]
 [85 93 31 ... 45  0 71]
 [61 62 90 ... 21 81  0]]",0.001982,0.001822
640,"[[ 0 70 89 ... 87 82 97]
 [15  0 43 ... 13 87 91]
 [53 21  0 ... 62 78 90]
 ...
 [64 14 54 ...  0 72 68]
 [28 50 85 ... 77  0 26]
 [42 43 45 ...  8 93  0]]",0.002033,0.001826
650,"[[ 0  8 16 ... 49 81 24]
 [48  0 54 ... 79 36 65]
 [44 17  0 ...  0 28 12]
 ...
 [53 77 65 ...  0 44 77]
 [56 91 85 ... 21  0 85]
 [64 73 76 ... 21 21  0]]",0.002081,0.001985
660,"[[ 0 47 43 ... 65 61 10]
 [ 9  0 72 ... 55 76 17]
 [66 55  0 ... 76 49 37]
 ...
 [63 46  0 ...  0 38 74]
 [91 80 69 ... 78  0 48]
 [82 53 28 ... 46 19  0]]",0.005995,0.003493
670,"[[ 0 87 87 ... 13 65 22]
 [43  0 62 ... 81 11 24]
 [20  6  0 ... 85 35 28]
 ...
 [30 99 68 ...  0 19 57]
 [56 53 68 ... 56  0 94]
 [52 24 66 ... 18 22  0]]",0.002559,0.002291
680,"[[ 0 76 38 ...  9  0 27]
 [93  0  5 ... 31 84 40]
 [31 48  0 ... 39 54 44]
 ...
 [31 45  6 ...  0 47 67]
 [22 93  1 ... 31  0  5]
 [ 8 59 42 ... 61 67  0]]",0.002584,0.002466
690,"[[ 0 63 60 ... 92 50 82]
 [75  0 29 ... 25 77 24]
 [66 33  0 ... 60 23 23]
 ...
 [49 31 49 ...  0 71 58]
 [27 93 42 ... 26  0 40]
 [44 73 24 ... 69 91  0]]",0.00629,0.004959
700,"[[ 0 74 16 ... 92 46 78]
 [43  0 87 ... 38 25 12]
 [51 74  0 ... 93 87 22]
 ...
 [32 43 73 ...  0 71 58]
 [29 85 38 ... 73  0 38]
 [95 62 57 ... 92 16  0]]",0.002582,0.002393
710,"[[ 0 60 17 ...  1 38 13]
 [56  0 70 ... 34 98 98]
 [99 26  0 ... 35 83 88]
 ...
 [13 22 71 ...  0 95 41]
 [60 15 21 ... 53  0 72]
 [44 39 32 ... 74 85  0]]",0.002817,0.003252
720,"[[ 0 39 20 ... 74 62 54]
 [25  0 70 ... 28 15 71]
 [77 43  0 ... 38 47 52]
 ...
 [90 69  1 ...  0 25 63]
 [89 78 67 ...  3  0 92]
 [77 64 70 ... 17 59  0]]",0.002934,0.002807
730,"[[ 0  5 62 ... 46 33  7]
 [61  0 74 ... 75 76 32]
 [10 12  0 ... 71 62 55]
 ...
 [39 95 35 ...  0 77 14]
 [58 43 70 ... 16  0 55]
 [82 90 37 ... 75 77  0]]",0.004835,0.002878
740,"[[ 0 52 92 ... 55 26 58]
 [69  0 96 ... 28 89 41]
 [76 35  0 ...  1 55 85]
 ...
 [42  2 69 ...  0 82 61]
 [98 50 48 ... 95  0 65]
 [63 45  5 ... 21 40  0]]",0.004077,0.003129
750,"[[ 0 21 18 ... 59 95  9]
 [88  0 35 ... 51  0 42]
 [38 66  0 ... 58 64 74]
 ...
 [ 5 57 66 ...  0 86  2]
 [94 63 56 ... 14  0 14]
 [12  1 93 ...  2 93  0]]",0.00284,0.003274
760,"[[ 0  5 42 ... 24 93 25]
 [76  0 66 ... 22 83 60]
 [63 87  0 ... 27 28 76]
 ...
 [88 31 83 ...  0 81 90]
 [69 98 38 ... 19  0 22]
 [ 2 97 54 ... 10 76  0]]",0.003373,0.002576
770,"[[ 0 70 60 ... 99  3 31]
 [42  0 57 ...  7 69  4]
 [90 36  0 ... 95 73  8]
 ...
 [89 64 87 ...  0 77 33]
 [31 88 51 ... 68  0  4]
 [50 27 64 ... 63 71  0]]",0.003008,0.002665
780,"[[ 0 64 97 ... 87 46 22]
 [20  0 98 ...  6 85  1]
 [93 65  0 ... 30 36 12]
 ...
 [71 42 25 ...  0 30 17]
 [ 2 56 81 ... 85  0 57]
 [93 74 37 ... 33 10  0]]",0.004111,0.003521
790,"[[ 0 88 77 ... 50 31 86]
 [74  0 23 ... 33 20 77]
 [51 25  0 ... 25 92 16]
 ...
 [65 36 78 ...  0 67 99]
 [66  2 65 ... 59  0 20]
 [84 47 61 ... 86 93  0]]",0.003814,0.003265
800,"[[ 0 73 21 ... 98 67 35]
 [91  0 64 ... 36 34 76]
 [64 87  0 ... 16 51 26]
 ...
 [ 0 63 81 ...  0 46 42]
 [48 59 32 ... 64  0 74]
 [91 88 18 ... 74 77  0]]",0.003716,0.002875
810,"[[ 0  4 94 ... 81 40 14]
 [ 4  0 82 ... 13 31 41]
 [38 43  0 ...  7 72  9]
 ...
 [87 35 38 ...  0 35 83]
 [68 28 46 ... 14  0 91]
 [76 76  6 ... 78 37  0]]",0.004437,0.003937
820,"[[ 0  5 67 ... 93 15 56]
 [15  0  0 ...  4 45 87]
 [19 18  0 ...  6 32 99]
 ...
 [32 40 99 ...  0 51 28]
 [ 6 14 39 ... 48  0 59]
 [30 56 51 ...  3 13  0]]",0.004992,0.003218
830,"[[ 0 68 77 ...  0 39 49]
 [35  0  7 ... 74 58 40]
 [96 27  0 ... 42 29 45]
 ...
 [97 87 47 ...  0 36 39]
 [43  7 98 ... 75  0 88]
 [81 74 24 ... 48 93  0]]",0.003764,0.003542
840,"[[ 0 52 73 ... 10  5 69]
 [57  0 44 ... 51 71 52]
 [ 2 91  0 ... 96  7 93]
 ...
 [62 46 44 ...  0 47 53]
 [10 62 30 ... 52  0 14]
 [94 42 31 ... 53 85  0]]",0.003731,0.003148
850,"[[ 0 94 56 ... 69  0 89]
 [49  0 46 ... 52 46 79]
 [12 45  0 ... 83 89 46]
 ...
 [47 52 77 ...  0 15 31]
 [ 7 56 93 ... 80  0 22]
 [85 68 70 ... 49 27  0]]",0.007572,0.006954
860,"[[ 0 96 62 ... 27 74 91]
 [ 7  0 13 ...  5  9 69]
 [59 36  0 ... 10 55 83]
 ...
 [ 6  6 27 ...  0 99 95]
 [77 22 55 ... 92  0 46]
 [45 18  0 ... 49 11  0]]",0.008936,0.004526
870,"[[ 0 58 89 ... 34 33 76]
 [99  0 38 ... 83 46 38]
 [35 98  0 ... 33 80 69]
 ...
 [14 86 81 ...  0 87 26]
 [94 35  2 ...  7  0 37]
 [72 27 40 ... 21 67  0]]",0.004633,0.003373
